id,latitud,longitud,zona
MXM00076519,22.1,-103.267,COLOTLAN  JAL.
MXM00076525,22.783,-102.567,ZACATECAS  ZAC. (LA BUFA  ZAC
MXM00076539,22.254,-100.931,PONCIANO ARRIAGA INTL
MXM00076543,22.0,-98.767,TAMUIN  S.L.P.
MXM00076548,22.2,-97.85,TAMPICO  TAMPS
MXM00076556,21.4833,-104.8833,TEPIC (OBS)
MXM00076571,21.705,-102.318,JESUS TERAN INTL
MXM00076573,21.35,-101.917,LAGOS DE MORENO  JAL.
MXM00076577,21.0,-101.283,GUANAJUATO                     
MXM00076581,21.933,-99.983,RIO VERDE  S.L.P.
MXM00076585,21.317,-98.817,MATLAPA  S.L.P.
MXM00076612,20.72,-103.38,GUADALAJARA
MXM00076625,20.617,-100.186,QUERETARO INTERCONTINENTAL
MXM00076632,20.133,-98.75,PACHUCA  HGO.
MXM00076634,20.083,-98.367,TULANCINGO  HGO.
MXM00076640,20.95,-97.4,TUXPAN.VER.
MXM00076654,19.05,-104.317,MANZANILLO                     
MXM00076656,19.717,-103.467,CIUDAD GUZMAN  JAL.
MXM00076658,19.277,-103.577,COLIMA
MXM00076662,20.0,-102.28,ZAMORA
MXM00076665,19.7,-101.183,MORELIA  MICH.
MXM00076675,19.2833,-99.7,TOLUCA (OBS)
MXM00076680,19.4,-99.183,MEXICO CITY                    
MXM00076681,19.317,-99.183,GEOGRAFIA UNAM
MXM00076683,19.3167,-98.2333,TLAXCALA DE XICONTECATL (DGE)
MXM00076685,19.158,-98.371,HERMANOS SERDAN INTL
MXM00076687,19.55,-96.917,JALAPA  VER.
MXM00076692,19.15,-96.117,HACIENDA YLANG YLANG VERACRUZ  
MXM00076726,18.883,-99.233,CUERNAVACA
MXM00076737,18.85,-97.1,ORIZABA
MXM00076762,17.55,-99.5,CHILPANCINGO  RO.
MXM00076773,17.8,-97.7667,HUAJUAPAN DE LEON (DGE)
MXM00076775,17.05,-96.717,OAXACA  OAX.